"filename", "language", "toml", "Python", "pip requirements", "comment", "blank", "total"
"d:\code\accessible_youtube_downloader_pro\diagnose_youtube_search.py", "Python", 0, 131, 0, 12, 26, 169
"d:\code\accessible_youtube_downloader_pro\monitor_logs.py", "Python", 0, 29, 0, 6, 8, 43
"d:\code\accessible_youtube_downloader_pro\requirements.txt", "pip requirements", 0, 0, 8, 0, 0, 8
"d:\code\accessible_youtube_downloader_pro\source\accessible_youtube_downloader_pro.py", "Python", 0, 205, 0, 12, 24, 241
"d:\code\accessible_youtube_downloader_pro\source\application.py", "Python", 0, 4, 0, 1, 1, 6
"d:\code\accessible_youtube_downloader_pro\source\database.py", "Python", 0, 73, 0, 13, 10, 96
"d:\code\accessible_youtube_downloader_pro\source\doc_handler.py", "Python", 0, 14, 0, 0, 3, 17
"d:\code\accessible_youtube_downloader_pro\source\download_handler\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\code\accessible_youtube_downloader_pro\source\download_handler\downloader.py", "Python", 0, 115, 0, 7, 11, 133
"d:\code\accessible_youtube_downloader_pro\source\gui\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\code\accessible_youtube_downloader_pro\source\gui\activity_dialog.py", "Python", 0, 45, 0, 1, 3, 49
"d:\code\accessible_youtube_downloader_pro\source\gui\auto_detect_dialog.py", "Python", 0, 44, 0, 0, 11, 55
"d:\code\accessible_youtube_downloader_pro\source\gui\comments_dialog.py", "Python", 0, 85, 0, 0, 12, 97
"d:\code\accessible_youtube_downloader_pro\source\gui\custom_controls.py", "Python", 0, 11, 0, 2, 5, 18
"d:\code\accessible_youtube_downloader_pro\source\gui\description.py", "Python", 0, 78, 0, 7, 6, 91
"d:\code\accessible_youtube_downloader_pro\source\gui\download_dialog.py", "Python", 0, 116, 0, 6, 4, 126
"d:\code\accessible_youtube_downloader_pro\source\gui\download_progress.py", "Python", 0, 15, 0, 0, 5, 20
"d:\code\accessible_youtube_downloader_pro\source\gui\favorites.py", "Python", 0, 182, 0, 0, 24, 206
"d:\code\accessible_youtube_downloader_pro\source\gui\link_dlg.py", "Python", 0, 47, 0, 0, 5, 52
"d:\code\accessible_youtube_downloader_pro\source\gui\playlist_dialog.py", "Python", 0, 185, 0, 1, 22, 208
"d:\code\accessible_youtube_downloader_pro\source\gui\search_dialog.py", "Python", 0, 46, 0, 1, 3, 50
"d:\code\accessible_youtube_downloader_pro\source\gui\settings_dialog.py", "Python", 0, 183, 0, 6, 18, 207
"d:\code\accessible_youtube_downloader_pro\source\gui\text_viewer.py", "Python", 0, 19, 0, 0, 8, 27
"d:\code\accessible_youtube_downloader_pro\source\gui\update_dialog.py", "Python", 0, 87, 0, 0, 8, 95
"d:\code\accessible_youtube_downloader_pro\source\language_handler.py", "Python", 0, 37, 0, 0, 15, 52
"d:\code\accessible_youtube_downloader_pro\source\logger_config.py", "Python", 0, 31, 0, 12, 8, 51
"d:\code\accessible_youtube_downloader_pro\source\media_player\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\code\accessible_youtube_downloader_pro\source\media_player\media_gui.py", "Python", 0, 382, 0, 0, 76, 458
"d:\code\accessible_youtube_downloader_pro\source\media_player\player.py", "Python", 0, 61, 0, 0, 9, 70
"d:\code\accessible_youtube_downloader_pro\source\nvda_client\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\code\accessible_youtube_downloader_pro\source\nvda_client\client.py", "Python", 0, 9, 0, 0, 3, 12
"d:\code\accessible_youtube_downloader_pro\source\pafy\__init__.py", "Python", 0, 11, 0, 1, 3, 15
"d:\code\accessible_youtube_downloader_pro\source\pafy\backend_internal.py", "Python", 0, 324, 0, 39, 97, 460
"d:\code\accessible_youtube_downloader_pro\source\pafy\backend_shared.py", "Python", 0, 471, 0, 95, 165, 731
"d:\code\accessible_youtube_downloader_pro\source\pafy\backend_youtube_dl.py", "Python", 0, 148, 0, 9, 50, 207
"d:\code\accessible_youtube_downloader_pro\source\pafy\channel.py", "Python", 0, 188, 0, 6, 42, 236
"d:\code\accessible_youtube_downloader_pro\source\pafy\g.py", "Python", 0, 87, 0, 3, 5, 95
"d:\code\accessible_youtube_downloader_pro\source\pafy\jsinterp.py", "Python", 0, 235, 0, 9, 41, 285
"d:\code\accessible_youtube_downloader_pro\source\pafy\pafy.py", "Python", 0, 98, 0, 65, 32, 195
"d:\code\accessible_youtube_downloader_pro\source\pafy\playlist.py", "Python", 0, 248, 0, 26, 67, 341
"d:\code\accessible_youtube_downloader_pro\source\pafy\util.py", "Python", 0, 36, 0, 12, 16, 64
"d:\code\accessible_youtube_downloader_pro\source\paths.py", "Python", 0, 4, 0, 0, 1, 5
"d:\code\accessible_youtube_downloader_pro\source\settings_handler.py", "Python", 0, 133, 0, 13, 25, 171
"d:\code\accessible_youtube_downloader_pro\source\utiles.py", "Python", 0, 103, 0, 0, 10, 113
"d:\code\accessible_youtube_downloader_pro\source\youtube_browser\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\code\accessible_youtube_downloader_pro\source\youtube_browser\browser.py", "Python", 0, 358, 0, 7, 37, 402
"d:\code\accessible_youtube_downloader_pro\source\youtube_browser\search_handler.py", "Python", 0, 160, 0, 0, 21, 181
"d:\code\accessible_youtube_downloader_pro\test_file_associations.py", "Python", 0, 61, 0, 9, 12, 82
"d:\code\accessible_youtube_downloader_pro\uv.lock", "toml", 238, 0, 0, 0, 23, 261
"Total", "-", 238, 4899, 8, 381, 980, 6506